Polling Firm,Fieldwork Period,United Right,Civic Coalition,The Left,Polish Coalition,Confederation,Poland 2050,Others / Don't know
Estymator / DoRzeczy.pl,2022-09-09,37.0,26.1,9.9,6.7,6.7,11.8,0.3
IPSOS / OKO.press,2022-09-08,33.0,26.0,8.0,5.0,7.0,12.0,8.0
Kantar Public,2022-09-07,29.0,27.0,7.0,3.0,6.0,8.0,16.0
Social Changes / wPolityce.pl,2022-09-05,36.0,29.0,8.0,5.0,8.0,11.0,1.0
IBRiS / ZET,2022-09-03,33.2,26.9,7.3,5.4,4.2,14.5,8.5
"United Surveys / DGP, RMF",2022-09-01,32.0,25.0,8.1,5.3,5.6,13.3,10.6
Social Changes / wPolityce.pl,2022-08-29,39.0,26.0,8.0,4.0,8.0,10.0,2.0
Research Partner,2022-08-29,35.2,25.6,8.0,4.6,5.3,8.2,10.7
United Surveys / WP.pl,2022-08-28,31.6,25.9,9.5,4.8,5.1,14.0,9.1
"IBRiS / ""Rz""",2022-08-27,30.9,25.8,10.1,5.2,3.0,12.1,12.9
Estymator / DoRzeczy.pl,2022-08-26,36.0,28.1,10.6,6.9,6.3,10.1,0.2
CBOS,2022-08-25,31.0,21.0,4.0,2.0,7.0,10.0,0.0
Pollster / SE.pl,2022-08-24,34.45,29.69,9.36,6.2,5.62,12.25,0.45
Social Changes / wPolityce.pl,2022-08-22,36.0,27.0,9.0,4.0,9.0,10.0,2.0
Kantar / TVN,2022-08-18,29.0,27.0,7.0,2.0,8.0,13.0,13.0
IBSP,2022-08-17,33.7,29.09,7.63,3.22,06.06,16.63,3.67
Social Changes / wPolityce.pl,2022-08-15,39.0,28.0,9.0,4.0,9.0,8.0,2.0
Research Partner,2022-08-15,34.7,25.8,7.4,4.2,5.7,8.5,11.4
Estymator / DoRzeczy.pl,2022-08-12,36.8,26.8,11.0,7.2,6.6,9.7,0.2
Kantar Public,2022-08-10,30.0,26.0,9.0,4.0,4.0,9.0,16.0
Social Changes / wPolityce.pl,2022-08-08,37.0,31.0,8.0,5.0,8.0,7.0,1.0
Social Changes / wPolityce.pl,2022-08-01,38.0,27.0,8.0,3.0,9.0,10.0,2.0
Research Partner,2022-08-01,38.2,25.8,7.4,5.7,6.1,7.7,7.1
United Surveys / WP.pl,2022-07-31,33.2,27.1,8.5,6.6,4.6,11.4,8.6
Estymator / DoRzeczy.pl,2022-07-29,36.6,26.4,11.6,7.1,6.9,9.5,0.4
IBRiS / Onet,2022-07-26,34.9,26.5,9.5,5.1,5.6,11.6,6.8
Social Changes / wPolityce.pl,2022-07-25,37.0,30.0,7.0,4.0,8.0,10.0,1.0
United Surveys / WP.pl,2022-07-23,34.2,25.9,9.8,6.3,4.0,9.4,10.4
Kantar Public,2022-07-20,26.0,27.0,8.0,5.0,6.0,8.0,16.0
Pollster / SE.pl,2022-07-19,33.8,27.33,12.69,5.13,8.66,11.01,0.3
Social Changes / wPolityce.pl,2022-07-18,39.0,27.0,8.0,3.0,9.0,10.0,2.0
Estymator / DoRzeczy.pl,2022-07-16,37.1,26.6,11.2,6.6,7.0,9.7,0.2
Social Changes / wPolityce.pl,2022-07-11,39.0,26.0,9.0,4.0,9.0,11.0,1.0
Research Partner,2022-07-11,33.9,26.6,8.1,4.8,4.9,7.7,11.2
CBOS,2022-07-07,33.0,18.0,5.0,3.0,6.0,8.0,22.0
ewybory.eu,2022-07-06,34.17,28.1,14.78,3.77,07.02,7.41,4.76
IBRiS / ZET,2022-07-05,33.7,25.2,8.5,5.1,6.0,9.8,11.7
Social Changes / wPolityce.pl,2022-07-04,37.0,26.0,8.0,5.0,9.0,10.0,2.0
United Surveys / WP.pl,2022-07-02,33.1,24.7,9.4,4.6,6.3,10.7,11.2
Social Changes / wPolityce.pl,2022-06-27,37.0,26.0,9.0,4.0,9.0,11.0,1.0
Research Partner,2022-06-27,34.4,24.5,7.8,4.7,6.2,9.6,10.9
Estymator / DoRzeczy.pl,2022-06-24,38.0,26.9,11.8,6.9,5.9,8.4,0.3
Kantar / TVN,2022-06-23,31.0,26.0,8.0,2.0,6.0,10.0,16.0
Pollster / SE.pl,2022-06-22,35.28,23.88,10.68,6.63,5.97,13.68,1.61
Social Changes / wPolityce.pl,2022-06-20,37.0,27.0,9.0,4.0,7.0,11.0,1.0
United Surveys / WP.pl,2022-06-19,34.2,25.5,9.2,5.2,5.3,7.0,13.6
"IBRiS / ""Rz""",2022-06-18,34.5,25.4,8.4,5.5,4.7,9.6,11.9
Research Partner,2022-06-13,32.8,23.0,7.7,4.4,5.4,10.5,13.8
Social Changes / wPolityce.pl,2022-06-13,37.0,25.0,7.0,5.0,9.0,12.0,2.0
IBSP / Stan Polityki,2022-06-13,37.01,27.8,7.94,2.65,7.73,15.52,1.35
Estymator / DoRzeczy.pl,2022-06-10,38.5,27.1,11.1,6.3,5.8,9.0,0.3
"Kantar / ""GW""",2022-06-09,32.1,22.3,8.2,3.6,7.3,9.7,16.8
CBOS,2022-06-09,32.0,17.0,4.0,3.0,5.0,12.0,20.0
Kantar Public,2022-06-08,29.0,23.0,8.0,4.0,4.0,10.0,19.0
"United Surveys / DGP, RMF",2022-06-07,37.1,25.5,8.3,5.0,4.2,10.2,9.7
Social Changes / wPolityce.pl,2022-06-06,37.0,27.0,7.0,4.0,8.0,13.0,2.0
United Surveys / WP.pl,2022-06-04,36.5,24.9,9.4,5.3,5.6,11.0,7.3
IBRiS / ZET,2022-06-01,35.1,25.3,8.9,6.3,4.1,8.4,11.9
Research Partner,2022-05-30,31.3,25.5,7.5,2.6,7.0,12.1,11.2
Social Changes / wPolityce.pl,2022-05-30,37.0,27.0,8.0,3.0,8.0,13.0,1.0
Estymator / DoRzeczy.pl,2022-05-27,39.5,28.4,10.5,6.2,5.1,8.2,0.5
Pollster / SE.pl,2022-05-25,35.28,25.09,10.91,4.72,6.3,12.35,2.33
Social Changes / wPolityce.pl,2022-05-23,38.0,25.0,8.0,3.0,10.0,12.0,1.0
"IBRiS / ""Rz""",2022-05-21,36.9,26.8,8.4,5.7,5.1,9.4,7.7
United Surveys / WP.pl,2022-05-21,36.2,25.2,9.2,5.7,5.2,8.4,10.1
Kantar Public,2022-05-18,29.0,24.0,8.0,3.0,4.0,9.0,18.0
Social Changes / wPolityce.pl,2022-05-16,38.0,28.0,7.0,3.0,9.0,11.0,2.0
Estymator / DoRzeczy.pl,2022-05-13,39.2,27.1,11.2,6.4,5.9,7.9,0.3
IPSOS / OKO.press,2022-05-12,35.0,26.0,9.0,4.0,7.0,13.0,6.0
CBOS,2022-05-12,36.0,19.0,4.0,2.0,3.0,9.0,19.0
Social Changes / wPolityce.pl,2022-05-09,36.0,27.0,9.0,4.0,8.0,12.0,2.0
Research Partner,2022-05-09,30.8,26.3,6.0,4.0,6.8,11.6,12.5
United Surveys / WP.pl,2022-05-07,34.7,27.0,9.0,5.0,5.4,9.3,9.6
IBRiS / ZET,2022-05-04,35.9,26.3,9.0,5.1,5.0,8.6,10.1
"United Surveys / DGP, RMF",2022-05-04,37.8,24.9,10.2,5.4,4.7,9.0,6.7
Social Changes / wPolityce.pl,2022-05-03,37.0,27.0,8.0,3.0,8.0,12.0,2.0
Estymator / DoRzeczy.pl,2022-04-29,38.4,27.0,10.5,6.7,7.3,8.0,0.3
Pollster / SE.pl,2022-04-28,35.41,26.48,10.12,5.7,5.45,14.14,0.26
IBRiS / Onet,2022-04-26,34.7,27.0,8.6,5.0,4.5,9.1,11.1
Social Changes / wPolityce.pl,2022-04-25,40.0,25.0,8.0,3.0,8.0,12.0,2.0
Research Partner,2022-04-25,32.5,25.5,6.1,3.7,7.9,10.7,11.5
United Surveys / WP.pl,2022-04-23,36.0,26.6,9.3,5.8,3.3,10.7,8.3
Social Changes / wPolityce.pl,2022-04-18,36.0,26.0,10.0,2.0,11.0,11.0,2.0
Estymator / DoRzeczy.pl,2022-04-14,39.0,26.4,8.5,6.6,8.3,9.1,0.5
Kantar Public,2022-04-13,30.0,26.0,8.0,4.0,6.0,9.0,14.0
Social Changes / wPolityce.pl,2022-04-11,39.0,26.0,7.0,3.0,9.0,13.0,1.0
Research Partner,2022-04-11,32.7,23.3,6.1,3.8,6.3,11.6,12.9
IBSP / Stan Polityki,2022-04-11,40.68,22.61,5.53,2.82,6.94,16.95,4.47
CBOS,2022-04-07,32.0,17.0,4.0,2.0,4.0,11.0,24.0
Social Changes / wPolityce.pl,2022-04-04,38.0,25.0,9.0,5.0,8.0,11.0,1.0
"IBRiS / ""Rz""",2022-04-02,32.9,25.1,7.1,5.0,6.3,9.0,14.6
United Surveys / WP.pl,2022-04-02,33.7,23.7,6.2,5.4,5.1,9.7,16.2
Estymator / DoRzeczy.pl,2022-03-31,39.2,25.4,8.3,6.1,7.4,10.9,0.9
IBRiS / ZET,2022-03-31,34.2,26.2,6.3,5.3,7.8,8.3,11.9
Social Changes / wPolityce.pl,2022-03-28,37.0,29.0,7.0,3.0,9.0,11.0,1.0
Social Changes / wPolityce.pl,2022-03-28,36.0,28.0,7.0,3.0,8.0,10.0,5.0
Research Partner,2022-03-28,33.6,24.2,6.4,3.1,8.0,11.8,10.7
Kantar Public / Polityka,2022-03-21,31.0,22.0,5.0,2.0,6.0,14.0,19.0
Social Changes / wPolityce.pl,2022-03-21,37.0,25.0,8.0,5.0,10.0,11.0,1.0
"United Surveys / DGP, RMF",2022-03-19,34.6,23.2,6.9,4.8,6.7,11.1,12.7
United Surveys / WP.pl,2022-03-18,33.4,23.1,8.1,5.2,4.1,9.1,17.0
Kantar Public,2022-03-16,30.0,27.0,7.0,3.0,5.0,9.0,16.9
Research Partner,2022-03-14,31.4,25.8,8.2,4.3,7.6,10.4,9.8
Estymator / DoRzeczy.pl,2022-03-11,39.6,25.1,7.5,6.3,7.0,12.2,0.8
IPSOS / OKO.press,2022-03-10,34.0,24.0,5.0,4.0,11.0,12.0,10.0
CBOS,2022-03-10,30.0,20.0,4.0,2.0,6.0,11.0,25.0
Kantar / KO,2022-03-04,30.0,25.0,4.0,5.0,10.0,14.0,10.0
United Surveys / WP.pl,2022-03-04,33.6,21.2,6.9,4.6,4.4,9.7,19.6
Pollster / SE.pl,2022-03-03,37.99,25.89,6.59,5.97,7.66,13.08,0.43
IBRiS / ZET,2022-03-01,37.4,22.8,7.2,4.9,4.1,10.9,12.7
Social Changes / wPolityce.pl,2022-03-01,38.0,27.0,7.0,4.0,8.0,11.0,2.0
Research Partner,2022-02-28,32.6,25.7,7.0,3.4,7.3,11.0,10.7
Social Changes / wPolityce.pl,2022-02-21,33.0,28.0,8.0,4.0,10.0,12.0,2.0
United Surveys / WP.pl,2022-02-18,32.2,26.9,7.1,5.2,9.0,9.4,10.2
Estymator / DoRzeczy.pl,2022-02-17,36.4,27.5,7.8,6.6,9.4,9.5,2.8
Pollster / SE.pl,2022-02-17,36.05,24.46,8.27,5.83,9.14,14.25,0.21
Kantar Public,2022-02-16,30.0,25.0,5.0,4.0,8.0,9.0,16.0
Social Changes / wPolityce.pl,2022-02-14,38.0,26.0,8.0,2.0,10.0,12.0,1.0
Research Partner,2022-02-14,31.1,23.7,8.8,5.8,8.3,9.9,10.0
IBRiS / Onet,2022-02-12,32.5,29.3,5.6,4.3,8.4,8.6,11.3
IBRiS / Onet,2022-02-12,32.7,28.0,6.3,4.1,7.7,8.1,13.1
CBOS,2022-02-10,30.0,17.0,3.0,2.0,7.0,11.0,28.0
Social Changes / wPolityce.pl,2022-02-07,31.0,26.0,10.0,4.0,12.0,12.0,2.0
IBSP / Stan Polityki,2022-02-07,34.63,26.34,7.54,3.47,8.96,14.88,4.18
United Surveys / WP.pl,2022-02-06,33.1,25.1,5.8,5.2,8.5,11.7,10.6
"IBRiS / ""Rz""",2022-02-06,31.1,26.7,6.6,5.2,6.9,11.1,12.4
Research Partner,2022-02-01,31.3,27.3,6.7,3.9,7.9,11.6,9.9
Social Changes / wPolityce.pl,2022-01-31,33.0,28.0,8.0,5.0,11.0,11.0,1.0
Social Changes / wPolityce.pl,2022-01-31,32.0,27.0,8.0,5.0,10.0,12.0,3.0
"United Surveys / DGP, RMF",2022-01-27,33.2,26.1,6.2,6.0,5.8,10.6,12.1
Kantar Public,2022-01-26,27.0,26.0,7.0,3.0,9.0,9.0,15.0
Social Changes / wPolityce.pl,2022-01-24,35.0,28.0,8.0,3.0,10.0,11.0,2.0
United Surveys / WP.pl,2022-01-21,32.3,27.2,7.0,6.5,6.8,11.2,9.0
Kantar / KO,2022-01-18,29.0,26.0,5.0,4.0,9.0,15.0,9.0
Research Partner,2022-01-17,31.7,23.9,8.0,2.0,9.0,11.1,13.1
Social Changes / wPolityce.pl,2022-01-17,34.0,27.0,10.0,3.0,11.0,12.0,1.0
IBRiS / Onet,2022-01-13,30.1,20.2,7.3,6.0,8.6,12.1,15.7
Pollster / SE.pl,2022-01-13,32.81,24.5,07.06,6.44,10.11,17.08,0.45
CBOS,2022-01-13,29.4,17.8,3.0,3.0,5.2,11.8,27.0
Social Changes / wPolityce.pl,2022-01-10,36.0,24.0,9.0,2.0,10.0,14.0,2.0
United Surveys / WP.pl,2022-01-07,33.0,25.1,8.2,7.6,8.0,11.0,7.2
Social Changes / wPolityce.pl,2022-01-02,38.0,24.0,7.0,2.0,12.0,13.0,1.0
Estymator / DoRzeczy.pl,2021-12-30,35.9,24.2,8.4,6.8,9.0,13.5,2.2
IPSOS / OKO.press,2021-12-30,33.0,26.0,6.0,5.0,10.0,13.0,7.0
Social Changes / wPolityce.pl,2021-12-20,36.0,25.0,8.0,3.0,11.0,13.0,0.0
"IBRiS / ""Rz.pl""",2021-12-18,30.8,24.1,7.8,5.9,6.3,10.1,15.0
United Surveys / WP.pl,2021-12-17,32.1,24.9,8.1,6.5,5.1,9.2,14.0
Research Partner,2021-12-13,35.3,22.4,7.6,1.4,8.2,11.8,11.3
Social Changes / wPolityce.pl,2021-12-13,38.0,24.0,7.0,2.0,11.0,14.0,2.0
Pollster / SE.pl,2021-12-12,36.38,25.81,6.18,4.38,10.7,14.55,0.46
Kantar / TVN,2021-12-12,31.0,24.0,6.0,6.0,7.0,14.0,8.0
Kantar / Polityka,2021-12-12,27.0,21.0,10.0,5.0,7.0,17.0,9.0
CBOS,2021-12-12,31.2,14.5,5.1,3.0,7.0,14.0,25.0
Kantar Public,2021-12-08,28.0,26.0,7.0,3.0,8.0,11.0,15.0
Social Changes / wPolityce.pl,2021-12-06,38.0,24.0,9.0,2.0,9.0,13.0,1.0
United Surveys / WP.pl,2021-12-03,32.1,23.7,7.8,5.7,6.7,10.6,13.4
Social Changes / wPolityce.pl,2021-11-29,38.0,25.0,9.0,2.0,10.0,12.0,2.0
Research Partner,2021-11-29,37.1,20.6,6.9,3.2,8.4,10.6,11.5
IBRiS / Onet,2021-11-27,32.0,22.1,7.0,6.4,7.1,11.8,13.7
Estymator / DoRzeczy.pl,2021-11-26,35.3,23.8,7.7,7.1,8.6,15.8,1.7
"IBRiS / ""Wydarzenia"" Polsat",2021-11-23,30.2,21.8,7.6,5.1,9.3,13.0,13.0
Pollster / SE.pl,2021-11-23,37.53,24.3,08.04,4.46,8.0,15.74,0.28
Social Changes / wPolityce.pl,2021-11-22,39.0,25.0,8.0,1.0,10.0,13.0,2.0
"IBRiS / ""Rz""",2021-11-20,30.2,21.2,8.4,4.6,6.1,13.2,16.3
"United Surveys / DGP, RMF",2021-11-19,31.0,22.1,7.0,5.8,6.5,12.3,15.2
United Surveys / WP.pl,2021-11-19,30.6,21.7,7.7,5.1,5.8,13.3,15.8
"Kantar Public / ""GW""",2021-11-18,30.0,24.0,8.0,4.0,9.0,14.0,10.0
Kantar Public,2021-11-17,29.0,24.0,7.0,4.0,5.0,10.0,11.0
Social Changes / wPolityce.pl,2021-11-15,41.0,23.0,7.0,1.0,11.0,13.0,1.0
CBOS,2021-11-14,29.3,17.9,4.9,2.0,5.5,12.0,27.0
Research Partner,2021-11-09,33.8,23.8,7.6,2.2,9.4,10.8,10.7
Social Changes / wPolityce.pl,2021-11-08,37.0,24.0,9.0,1.0,10.0,14.0,2.0
Estymator / DoRzeczy.pl,2021-11-06,37.6,24.6,9.1,5.7,8.2,12.8,2.0
United Surveys / WP.pl,2021-11-05,32.6,21.6,7.2,4.6,5.9,16.5,11.7
Social Changes / wPolityce.pl,2021-11-02,39.0,25.0,8.0,2.0,9.0,12.0,2.0
CBOS,2021-10-28,28.4,17.2,4.7,3.0,7.6,12.2,26.0
Pollster / SE.pl,2021-10-28,36.58,25.8,8.56,4.41,8.77,13.8,0.19
Social Changes / wPolityce.pl,2021-10-25,39.0,26.0,8.0,2.0,10.0,12.0,1.0
Research Partner,2021-10-25,35.0,23.3,7.0,3.0,7.7,11.3,10.3
"IBRiS / ""Rz.pl""",2021-10-23,35.8,24.5,9.4,4.6,5.1,13.5,7.1
United Surveys / WP.pl,2021-10-22,37.1,23.3,8.0,6.2,6.1,12.0,7.3
Social Changes / wPolityce.pl,2021-10-18,39.0,26.0,7.0,2.0,8.0,13.0,1.0
CBOS,2021-10-14,34.6,15.3,4.1,2.0,5.7,11.5,26.0
Kantar / TVN,2021-10-13,32.0,26.0,6.0,4.0,9.0,15.0,7.0
Kantar Public,2021-10-13,32.0,25.0,7.0,3.0,6.0,10.0,14.0
"United Surveys / DGP, RMF",2021-10-11,35.4,27.1,6.7,4.6,6.8,9.5,9.9
Research Partner,2021-10-11,36.2,21.0,6.7,1.6,9.4,11.5,11.8
Social Changes / wPolityce.pl,2021-10-11,40.0,26.0,7.0,2.0,7.0,12.0,2.0
United Surveys / WP.pl,2021-10-08,35.4,25.9,7.9,5.8,6.7,9.8,8.5
"IBRiS / ""Wydarzenia"" Polsat",2021-10-06,34.3,21.6,8.0,5.4,8.4,10.5,11.7
Social Changes / wPolityce.pl,2021-10-04,37.0,25.0,7.0,1.0,11.0,14.0,2.0
Social Changes / wPolityce.pl,2021-09-27,38.0,26.0,8.0,2.0,9.0,14.0,1.0
Research Partner,2021-09-27,35.2,22.4,7.4,2.0,8.6,11.1,11.4
"IBRiS / ""Rz.pl""",2021-09-25,34.1,23.4,7.1,5.0,5.9,12.0,12.5
United Surveys / WP.pl,2021-09-24,35.6,23.0,6.4,5.3,7.1,11.6,11.0
"IPSOS / ""GW"", OKO.press",2021-09-23,35.0,24.0,7.0,4.0,9.0,15.0,7.0
Social Changes / wPolityce.pl,2021-09-20,37.0,24.0,7.0,2.0,12.0,13.0,1.0
CBOS,2021-09-16,33.5,16.0,4.4,1.0,5.3,11.8,26.0
Pollster / SE.pl,2021-09-14,39.5,24.54,7.56,4.66,7.35,14.32,0.28
Social Changes / wPolityce.pl,2021-09-13,37.0,27.0,7.0,2.0,9.0,12.0,2.0
Social Changes / wPolityce.pl,2021-09-13,36.0,29.0,6.0,2.0,10.0,12.0,1.0
Pollster / Salon24.pl,2021-09-12,38.87,25.68,7.84,3.85,8.21,13.86,0.34
Estymator / DoRzeczy.pl,2021-09-11,40.2,24.1,9.0,3.9,8.8,10.9,0.5
Kantar / TVN,2021-09-11,30.0,24.0,5.0,3.0,8.0,14.0,15.0
United Surveys / WP.pl,2021-09-10,36.4,22.3,6.8,5.2,8.8,9.2,11.3
Kantar Public,2021-09-08,32.0,25.0,6.0,3.0,4.0,12.0,16.0
"IBRiS / ""Wydarzenia"" Polsat",2021-09-07,36.5,23.0,8.5,2.9,7.6,11.3,9.9
Social Changes / wPolityce.pl,2021-09-06,37.0,26.0,8.0,3.0,7.0,16.0,1.0
Research Partner,2021-09-06,30.5,22.0,7.2,0.8,8.5,17.9,11.2
IBRiS / Onet,2021-09-04,36.6,23.1,8.0,4.4,8.0,11.5,8.4
Pollster / Wiadomości TVP,2021-09-03,36.72,25.98,7.53,0.0,8.77,14.78,6.22
IBSP / Stan Polityki,2021-09-03,34.61,24.09,7.73,2.65,9.69,15.82,5.41
Social Changes / wPolityce.pl,2021-08-30,35.0,25.0,9.0,3.0,8.0,17.0,0.0
"IBRiS / ""Rz""",2021-08-28,35.3,25.7,9.3,4.0,6.4,10.1,9.2
"United Surveys / DGP, RMF",2021-08-27,37.1,25.0,9.0,4.5,8.1,8.4,7.9
United Surveys / WP.pl,2021-08-27,36.3,25.5,8.0,4.4,8.0,10.6,6.4
Pollster / Wiadomości TVP,2021-08-27,37.0,24.0,7.0,0.0,10.0,16.0,6.0
CBOS,2021-08-26,34.0,18.0,5.0,3.0,5.0,11.0,23.0
"IBRiS / ""Wydarzenia"" Polsat",2021-08-24,35.5,24.3,7.8,4.2,7.4,11.7,9.1
Social Changes / wPolityce.pl,2021-08-23,33.0,26.0,8.0,2.0,9.0,17.0,2.0
Pollster / TVP Info,2021-08-16,34.0,26.0,8.0,4.0,8.0,18.0,0.2
Research Partner,2021-08-16,30.6,22.2,6.9,2.0,7.2,17.0,12.8
Research Partner,2021-08-16,27.4,22.7,5.8,1.8,5.9,14.5,21.0
Social Changes / wPolityce.pl,2021-08-16,33.0,26.0,7.0,2.0,9.0,18.0,1.0
Kantar,2021-08-13,26.0,26.0,10.0,3.0,7.0,17.0,7.0
Kantar,2021-08-11,35.0,22.0,7.0,4.0,6.0,9.0,15.0
ewybory.eu,2021-08-10,31.38,29.72,14.1,5.29,10.65,7.83,01.03
Social Changes / wPolityce.pl,2021-08-09,34.0,26.0,8.0,2.0,8.0,17.0,1.0
Social Changes / wPolityce.pl,2021-08-02,34.0,23.0,7.0,3.0,8.0,21.0,1.0
Research Partner,2021-08-02,30.8,22.0,6.8,1.7,6.9,15.4,13.6
Pollster / SE.pl,2021-08-02,34.48,25.78,8.27,03.07,9.68,16.29,0.28
"IBRiS / ""Rz""",2021-08-01,33.6,27.3,9.1,5.0,5.0,11.1,9.0
United Surveys / WP.pl,2021-07-30,34.2,27.6,6.9,5.0,5.9,10.0,10.4
Social Changes / wPolityce.pl,2021-07-26,36.0,24.0,7.0,2.0,9.0,19.0,1.0
Social Changes / wPolityce.pl,2021-07-26,35.0,27.0,7.0,2.0,6.0,19.0,1.0
IBRiS / Onet,2021-07-25,33.6,26.2,7.1,5.0,5.4,10.9,11.8
IBSP,2021-07-23,34.85,26.24,6.38,2.32,7.37,19.76,03.08
Research Partner,2021-07-19,30.2,24.1,7.5,1.8,5.9,17.4,11.4
Social Changes / wPolityce.pl,2021-07-19,34.0,25.0,8.0,2.0,9.0,19.0,1.0
Kantar,2021-07-14,30.0,23.0,5.0,4.0,5.0,15.0,16.0
Social Changes / wPolityce.pl,2021-07-12,34.0,24.0,9.0,4.0,7.0,20.0,1.0
Kantar / TVN,2021-07-11,29.0,24.0,7.0,3.0,7.0,15.0,14.0
CBOS,2021-07-11,36.0,16.0,5.0,3.0,5.0,13.0,21.0
Pollster / SE.pl,2021-07-07,35.25,24.3,6.45,4.3,7.67,18.75,0.68
United Surveys / WP.pl,2021-07-07,35.2,21.3,7.8,5.1,5.6,16.5,8.5
"IBRiS / ""Wydarzenia"" Polsat",2021-07-06,34.0,20.0,8.2,5.3,7.0,15.5,10.0
Research Partner,2021-07-05,30.6,18.6,6.4,1.9,8.2,19.1,12.1
"United Surveys / DGP, RMF",2021-07-05,33.0,18.6,7.8,6.0,7.0,16.6,11.0
Social Changes / wPolityce.pl,2021-07-05,33.0,21.0,9.0,2.0,8.0,24.0,1.0
Opinia24 / RMF FM,2021-07-05,29.0,23.0,8.0,4.0,10.0,17.0,8.0
"IBRiS / ""Wydarzenia"" Polsat",2021-06-30,33.5,16.9,9.5,6.6,8.4,17.1,8.2
Social Changes / wPolityce.pl,2021-06-28,34.0,17.0,10.0,3.0,10.0,23.0,1.0
Pollster / SE.pl,2021-06-27,35.79,20.96,6.32,4.84,7.99,23.04,01.06
IBRiS / Onet,2021-06-26,33.5,16.1,8.3,5.4,9.3,17.9,9.5
Kantar / TVN,2021-06-25,30.0,19.0,6.0,4.0,8.0,21.0,11.0
Research Partner,2021-06-21,31.2,17.4,7.0,3.1,6.1,22.5,10.8
Social Changes / wPolityce.pl,2021-06-21,33.0,19.0,9.0,4.0,7.0,25.0,1.0
Social Changes / wPolityce.pl,2021-06-21,32.0,25.0,8.0,3.0,6.0,22.0,1.0
"IBRiS / ""Rz""",2021-06-20,34.7,13.0,9.1,5.1,10.3,20.2,7.7
United Surveys / WP.pl,2021-06-19,34.2,14.7,10.4,5.3,7.1,19.0,9.3
CBOS,2021-06-17,35.6,11.3,5.3,2.0,5.5,16.1,22.0
Kantar,2021-06-16,30.0,20.0,7.0,4.0,6.0,14.0,17.0
Social Changes / wPolityce.pl,2021-06-14,35.0,17.0,10.0,3.0,7.0,25.0,1.0
IBRiS / ZET,2021-06-11,32.4,13.0,7.6,4.7,8.1,19.8,14.4
Research Partner,2021-06-07,31.1,16.0,6.8,2.7,6.1,24.8,9.9
